Category,Question,Answer
Admissions,Quick question: how much percentage is required for Mechanical Engineering ME? - thanks in advance!,The merit criteria for ME in Mechanical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,Quick question: closing merit for Computer Systems Engineering?,Admission to Computer Systems Engineering (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Quick question: closing merit for Biomedical Engineering? (I need this urgently),The merit criteria for MS in Biomedical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Admissions,"Hey CampusBrain, what is the merit for MS in Urban & Infrastructure Engineering? Thanks.",The merit criteria for MS in Urban & Infrastructure Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,Could you please explain fee for PhD in Telecommunications Engineering?,"For PhD in Telecommunications Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Academics,Could you please explain HOD of Mechanical Engineering?,"To contact the HOD of Mechanical Engineering, please visit the specific department's page on neduet.edu.pk."
Admissions,"Hello, what is the merit for ME in Polymer & Petrochemical Engineering? Please.",Admission to Polymer & Petrochemical Engineering (ME) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Quick question: how much percentage is required for Environmental Engineering MS? (I need this urgently),Admission to Environmental Engineering (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,I'm looking for info on closing merit for Food Engineering? Please.,The merit criteria for MS in Food Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
Fees & Scholarships,I would like to know are there scholarships for Polymer & Petrochemical Engineering? (I need this urgently),Scholarships for Polymer & Petrochemical Engineering students are announced periodically. Keep checking the Student Affairs notice board.
Fees & Scholarships,"Hello, financial aid for ME students? Appreciate it.",NED University offers various need-based and merit-based scholarships. You can apply through the Student Affairs department.
Admissions,"Tell me, what is the merit for BE in Physics? Please.",Admission to Physics (BE) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Academics,Can you tell me how to find English? Appreciate it.,You can find the English at the NED Main Campus.
Academics,I would like to know how to find Textile Engineering? ASAP.,The Textile Engineering department is located at the Main Campus. You can find its exact location on the campus map near the academic blocks.
Fees & Scholarships,"Hi, fee for ME in Civil Engineering? (I need this urgently)",The fee structure for Civil Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Fees & Scholarships,Please guide me about fee for PhD in Chemical Engineering? - thanks in advance!,The fee structure for Chemical Engineering varies depending on whether you are admitted under regular or self-finance categories. Please refer to the latest prospectus.
Admissions,I'm looking for info on how much percentage is required for Chemical Engineering BS? Thanks.,Admission to Chemical Engineering (BS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,"Tell me, merit criteria for Biomedical Engineering? Appreciate it.",Admission to Biomedical Engineering (PhD) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Fees & Scholarships,Please guide me about fee for MS in Software Engineering? Appreciate it.,"For MS in Software Engineering, the semester fee is updated annually. You can download the fee voucher from your student portal."
Facilities,How do I go to Medical Centre? Please.,You will find the Medical Centre clearly signposted at the NED Main Campus.
Admissions,Can you tell me what is the merit for MS in Mathematics? Can you help?,Admission to Mathematics (MS) requires clearing the NED Entry Test. Merit is calculated generally as 50% entry test and 50% intermediate marks.
Admissions,Do you know how much percentage is required for Polymer & Petrochemical Engineering MS? Appreciate it.,The merit criteria for MS in Polymer & Petrochemical Engineering depends on the annual entry test scores and intermediate results. Please check the official NED admission portal for last year's closing merit.
